"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Webview screen verification","","0","0","1","0","0"
"","Drag and drop elements","","0","0","1","0","0"
"","Login invalid","","0","0","1","0","0"
"","Home screen verification","","0","0","1","0","0"
"","Sign up invalid","","0","0","2","0","0"
